month,totals
1999-01-01,18999
1999-02-01,22252
1999-03-01,23492
1999-04-01,19219
1999-05-01,18891
1999-06-01,19383
1999-07-01,20004
1999-08-01,20093
1999-09-01,20399
1999-10-01,25667
1999-11-01,28490
1999-12-01,42811
2000-01-01,21069
2000-02-01,22271
2000-03-01,21673
2000-04-01,18712
2000-05-01,18427
2000-06-01,18875
2000-07-01,17903
2000-08-01,21096
2000-09-01,21001
2000-10-01,23888
2000-11-01,26210
2000-12-01,34910
2001-01-01,23164
2001-02-01,22384
2001-03-01,23281
2001-04-01,19361
2001-05-01,18478
2001-06-01,19021
2001-07-01,19017
2001-08-01,22195
2001-09-01,29526
2001-10-01,38217
2001-11-01,32050
2001-12-01,36702
2002-01-01,23336
2002-02-01,25202
2002-03-01,23455
2002-04-01,20162
2002-05-01,19847
2002-06-01,20361
2002-07-01,19510
2002-08-01,23710
2002-09-01,22695
2002-10-01,26362
2002-11-01,28505
2002-12-01,35703
2003-01-01,24477
2003-02-01,25659
2003-03-01,25487
2003-04-01,21214
2003-05-01,20763
2003-06-01,20222
2003-07-01,19990
2003-08-01,24348
2003-09-01,23621
2003-10-01,26637
2003-11-01,27481
2003-12-01,38282
2004-01-01,26510
2004-02-01,26760
2004-03-01,25583
2004-04-01,22389
2004-05-01,20687
2004-06-01,21304
2004-07-01,21187
2004-08-01,22860
2004-09-01,21139
2004-10-01,31051
2004-11-01,33432
2004-12-01,45122
2005-01-01,28682
2005-02-01,29067
2005-03-01,28137
2005-04-01,27626
2005-05-01,24404
2005-06-01,25239
2005-07-01,23984
2005-08-01,28295
2005-09-01,31383
2005-10-01,34047
2005-11-01,37841
2005-12-01,51940
2006-01-01,34365
2006-02-01,34987
2006-03-01,35401
2006-04-01,30047
2006-05-01,29154
2006-06-01,28963
2006-07-01,27812
2006-08-01,32099
2006-09-01,31977
2006-10-01,35579
2006-11-01,40416
2006-12-01,50928
2007-01-01,35013
2007-02-01,36440
2007-03-01,37115
2007-04-01,32101
2007-05-01,32487
2007-06-01,32629
2007-07-01,29624
2007-08-01,33844
2007-09-01,32416
2007-10-01,35495
2007-11-01,38887
2007-12-01,50129
2008-01-01,38219
2008-02-01,40476
2008-03-01,39246
2008-04-01,36385
2008-05-01,35887
2008-06-01,34145
2008-07-01,34809
2008-08-01,34316
2008-09-01,34029
2008-10-01,44475
2008-11-01,65859
2008-12-01,65826
2009-01-01,51169
2009-02-01,53862
2009-03-01,55646
2009-04-01,48761
2009-05-01,40976
2009-06-01,38505
2009-07-01,38918
2009-08-01,40232
2009-09-01,39874
2009-10-01,44824
2009-11-01,46324
2009-12-01,57449
2010-01-01,46404
2010-02-01,50797
2010-03-01,51836
2010-04-01,42794
2010-05-01,39988
2010-06-01,39190
2010-07-01,40949
2010-08-01,42301
2010-09-01,42666
2010-10-01,46464
2010-11-01,50550
2010-12-01,65408
2011-01-01,53396
2011-02-01,60661
2011-03-01,57319
2011-04-01,49574
2011-05-01,44317
2011-06-01,45007
2011-07-01,44259
2011-08-01,49864
2011-09-01,49825
2011-10-01,52459
2011-11-01,58793
2011-12-01,77755
2012-01-01,58468
2012-02-01,73182
2012-03-01,68009
2012-04-01,57162
2012-05-01,54996
2012-06-01,55905
2012-07-01,57012
2012-08-01,63007
2012-09-01,59337
2012-10-01,64782
2012-11-01,88114
2012-12-01,134345
2013-01-01,117696
2013-02-01,99785
2013-03-01,86541
2013-04-01,102757
2013-05-01,90077
2013-06-01,76142
2013-07-01,78121
2013-08-01,81138
2013-09-01,73216
2013-10-01,79284
2013-11-01,86342
2013-12-01,102760
2014-01-01,82342
2014-02-01,100876
2014-03-01,104835
2014-04-01,94323
2014-05-01,78127
2014-06-01,70597
2014-07-01,70230
2014-08-01,75868
2014-09-01,77573
2014-10-01,83962
2014-11-01,87931
2014-12-01,107882
2015-01-01,87895
2015-02-01,103809
2015-03-01,93683
2015-04-01,81456
2015-05-01,77601
2015-06-01,79101
2015-07-01,83877
2015-08-01,87429
2015-09-01,85246
2015-10-01,94518
2015-11-01,103532
2015-12-01,168935
2016-01-01,125935
2016-02-01,132010
2016-03-01,119207
2016-04-01,104114
2016-05-01,94732
2016-06-01,125567
2016-07-01,125208
2016-08-01,114446
2016-09-01,102843
2016-10-01,111657
2016-11-01,134638
2016-12-01,144983
2017-01-01,104576
2017-02-01,117892
2017-03-01,122716
2017-04-01,103641
2017-05-01,96556
2017-06-01,100508
2017-07-01,92822
2017-08-01,96664
2017-09-01,77390
